model,feature_source,ngram_range,tuned,split,accuracy,precision,recall,f1,notes
LogisticRegression,title_only,"(1, 1)",No,VAL,0.9358908780903665,0.9250834091598423,0.9594212016357345,0.9419394688079061,
MultinomialNB,title_only,"(1, 1)",No,VAL,0.9321398124467178,0.9352112676056338,0.9399182132746147,0.9375588327580797,
ComplementNB,title_only,"(1, 1)",No,VAL,0.9304347826086956,0.9444979146615335,0.9260773828247877,0.9351969504447268,
LinearSVC,title_only,"(1, 1)",No,VAL,0.9415174765558397,0.9379246448424954,0.9553318653664674,0.9465482312607137,
SGDClassifier,title_only,"(1, 1)",No,VAL,0.9381074168797954,0.9251207729468599,0.9638251022334068,0.9440764134956093,
RandomForest,title_only,"(1, 1)",No,VAL,0.9268542199488491,0.9217791411042945,0.9452658068575024,0.9333747476316199,
LogisticRegression,title_only,"(1, 2)",No,VAL,0.9391304347826087,0.9288753799392098,0.9613085876061654,0.9448137270057196,
MultinomialNB,title_only,"(1, 2)",No,VAL,0.93384484228474,0.9373237229708555,0.9408619062598301,0.9390894819466248,
ComplementNB,title_only,"(1, 2)",No,VAL,0.9360613810741688,0.9502247912652537,0.9307958477508651,0.9404099793421262,
LinearSVC,title_only,"(1, 2)",No,VAL,0.9495311167945439,0.9458707083204454,0.9619377162629758,0.9538365564566438,
SGDClassifier,title_only,"(1, 2)",No,VAL,0.9413469735720376,0.928377153218495,0.966341616860648,0.9469790382244143,
RandomForest,title_only,"(1, 2)",No,VAL,0.9237851662404092,0.9104567307692307,0.9531299150676313,0.9313047487321346,
LogisticRegression,text_only,"(1, 1)",No,VAL,0.9827791986359762,0.978247358607831,0.9902485058194401,0.9842113490698765,
MultinomialNB,text_only,"(1, 1)",No,VAL,0.9241261722080136,0.9080597014925373,0.9569046870084932,0.9318425486291928,
ComplementNB,text_only,"(1, 1)",No,VAL,0.9350383631713555,0.9320568252007412,0.9493551431267694,0.9406264609630669,
LinearSVC,text_only,"(1, 1)",No,VAL,0.9885763000852515,0.9853399875233937,0.9937087134318968,0.9895066562255286,
SGDClassifier,text_only,"(1, 1)",No,VAL,0.9867007672634271,0.9819707802300279,0.9937087134318968,0.9878048780487805,
RandomForest,text_only,"(1, 1)",No,VAL,0.9884057971014493,0.9841269841269841,0.9946524064171123,0.9893617021276596,
LogisticRegression,text_only,"(1, 2)",No,VAL,0.9829497016197783,0.9770684846606755,0.9918213274614659,0.9843896347174523,
MultinomialNB,text_only,"(1, 2)",No,VAL,0.9340153452685422,0.90534262485482,0.9808115759672853,0.941567265589612,
ComplementNB,text_only,"(1, 2)",No,VAL,0.9485080988917306,0.9315931593159316,0.9767222396980182,0.9536240786240786,
LinearSVC,text_only,"(1, 2)",No,VAL,0.9895993179880648,0.985065339141257,0.9959106637307329,0.9904583137806976,
SGDClassifier,text_only,"(1, 2)",No,VAL,0.9873827791986359,0.9819931698230363,0.9949669707455174,0.9884375,
RandomForest,text_only,"(1, 2)",No,VAL,0.9781756180733163,0.9703977798334875,0.9899339414910349,0.9800685144814699,
LogisticRegression,title_plus_text,"(1, 1)",No,VAL,0.984313725490196,0.9794967381174278,0.9918213274614659,0.9856205064082526,
MultinomialNB,title_plus_text,"(1, 1)",No,VAL,0.9355498721227622,0.9281565270559462,0.9550173010380623,0.9413953488372093,
ComplementNB,title_plus_text,"(1, 1)",No,VAL,0.934697357203751,0.932549504950495,0.9480968858131488,0.9402589299641242,
LinearSVC,title_plus_text,"(1, 1)",No,VAL,0.991304347826087,0.9881398252184769,0.9959106637307329,0.9920100266332446,
SGDClassifier,title_plus_text,"(1, 1)",No,VAL,0.9884057971014493,0.9841269841269841,0.9946524064171123,0.9893617021276596,
RandomForest,title_plus_text,"(1, 1)",No,VAL,0.9877237851662404,0.9853170884098719,0.992135891789871,0.9887147335423198,
LogisticRegression,title_plus_text,"(1, 2)",No,VAL,0.9820971867007673,0.9758513931888545,0.9915067631330607,0.9836167888906225,
MultinomialNB,title_plus_text,"(1, 2)",No,VAL,0.9481670929241262,0.9294890947116821,0.9786096256684492,0.9534171008274593,
ComplementNB,title_plus_text,"(1, 2)",No,VAL,0.9502131287297527,0.9359710057384476,0.9748348537275873,0.9550077041602465,
LinearSVC,title_plus_text,"(1, 2)",No,VAL,0.9909633418584826,0.9872194513715711,0.996225228059138,0.9917018944731486,
SGDClassifier,title_plus_text,"(1, 2)",No,VAL,0.9890878090366582,0.9844479004665629,0.9955960994023277,0.98999061620269,
RandomForest,title_plus_text,"(1, 2)",No,VAL,0.9846547314578005,0.9813025864755376,0.9905630701478453,0.9859110832811522,
LogisticRegression,title_plus_text,"(1, 1)",Yes,VAL,0.9636828644501279,0.9540722596448254,0.980182447310475,0.9669511249030256,{'C': 0.1}
LogisticRegression,title_plus_text,"(1, 1)",Yes,VAL,0.984313725490196,0.9794967381174278,0.9918213274614659,0.9856205064082526,{'C': 1}
LogisticRegression,title_plus_text,"(1, 1)",Yes,VAL,0.9873827791986359,0.9837955749454659,0.9930795847750865,0.9884157795867251,{'C': 5}
LogisticRegression,title_plus_text,"(1, 1)",Yes,VAL,0.9895993179880648,0.9859725685785536,0.9949669707455174,0.9904493502426804,{'C': 10}
LinearSVC,title_plus_text,"(1, 1)",Yes,VAL,0.9860187553282183,0.9813490829965806,0.9930795847750865,0.9871794871794872,{'C': 0.1}
LinearSVC,title_plus_text,"(1, 1)",Yes,VAL,0.991304347826087,0.9881398252184769,0.9959106637307329,0.9920100266332446,{'C': 1}
LinearSVC,title_plus_text,"(1, 1)",Yes,VAL,0.991304347826087,0.9890556597873671,0.9949669707455174,0.992002509016779,{'C': 5}
LinearSVC,title_plus_text,"(1, 1)",Yes,VAL,0.9911338448422847,0.9884411121524523,0.9952815350739226,0.9918495297805643,{'C': 10}
LinearSVC,title_plus_text,"(1, 1)",Yes,TEST,0.9916453537936913,0.9890625,0.9955960994023277,0.9923185452265245,{'C': 1}
